name,line,lat,lon,type
Jarqo'rg'on ko'chasi,,41.2647663,69.3153416,bus
Санаторий Семашко,,41.3355133,69.2782,bus
11-sonli tug'ruqxona,,41.2696666,69.3004336,bus
11-sonli tug'ruqxona,,41.2693954,69.2993674,bus
Obod mahallasi,,41.2451009,69.2650835,bus
Mahalliy havo yo'llari aeroporti,,41.2494181,69.2677695,bus
Obirahmat mahallasi,,41.2518072,69.2530159,bus
AYoQSh,,41.2554614,69.2493959,bus
Qushbegi dahasi,,41.2660718,69.2470112,bus
Vagon deposi,,41.2693388,69.2574795,bus
Qushbegi dahasi,,41.2667001,69.2461885,bus
,,41.3340783,69.2652759,bus
Mahalliy havo yo'llari aeroporti,,41.2484087,69.2649057,bus
Тулаби,,41.3571724,69.0781264,bus
,,41.3630417,69.0575081,bus
Оқ том,,41.3532097,69.0630853,bus
Школа №76,,41.3548439,69.0692394,bus
,,41.3557921,69.0819379,bus
,,41.349663,69.0800763,bus
Тутзор,,41.3594661,69.1042033,bus
Мажнунтол,,41.3597077,69.1086665,bus
,,41.3598432,69.1142831,bus
Shamsiobod,,41.3590031,69.122555,bus
Олтин Тепа,,41.3567563,69.1294161,bus
Сабзавот,,41.3555241,69.1345874,bus
Ko'k saroy,,41.3541623,69.1413538,bus
Дамариқ,,41.3525564,69.1482076,bus
Tantana ko'chasi,,41.3561344,69.3779289,bus
,,41.2879661,69.2840483,bus
Moskva kafesi,,41.279159,69.1778953,bus
Рабочий городок,,41.3389623,69.2682281,bus
Gullola ko'chasi,,41.3600298,69.3374552,bus
,,41.3021119,69.2067398,bus
Farg'ona bozori,,41.2724658,69.3087614,bus
Tez yordam markazi,,41.2656509,69.2182104,bus
Tez yordam markazi,,41.2669496,69.2165168,bus
Jarrohlik markazi,,41.2705915,69.2116354,bus
Кислородная,,41.2742616,69.2134585,bus
,,41.275046,69.21427,bus
Qozirabod mahallasi,,41.2793779,69.2170115,bus
Yunusobod dahasi 14-mavze,,41.3743335,69.3039122,bus
Yunusobod dahasi 14-mavze,,41.3745726,69.3029936,bus
улица Саида Барака,,41.2969104,69.281186,bus
Yuzrobod Ko'chasi,,41.3629188,69.3922618,bus
Yuzrobod Ko'chasi,,41.3636686,69.3931524,bus
Feruza dahasi,,41.3619921,69.3664965,bus
Feruza dahasi,,41.3617017,69.3672466,bus
Yunusobod dahasi 19-mavze,,41.3734961,69.3220681,bus
Feruza dahasi,,41.3619055,69.3664794,bus
,,41.2615786,69.2307751,bus
Sergeli bozori,,41.2274586,69.2195352,bus
Sergeli bozori,,41.2280647,69.2189895,bus
Chilonzor dahasi 24-mavze,,41.2823867,69.1800937,bus
,,41.3102356,69.3258014,bus
Шанпан виноси заводи,,41.3103502,69.321977,bus
,,41.3123746,69.3299347,bus
Sultonali Mashxadi ko'chasi,,41.3124703,69.3133939,bus
Oltintepa 5-o'tish ko'chasi,,41.3142126,69.3339545,bus
Ломоносова,,41.317568,69.3387604,bus
Ломоносова,,41.3179702,69.3396838,bus
G'ayratiy ko'chasi,,41.3576268,69.2725138,bus
Yunusobod dahasi 4-mavze,,41.3599759,69.2789569,bus
,,41.3318647,69.2505618,bus
,,41.3324117,69.2519894,bus
Yunusobod dahasi 4-mavze,,41.359982,69.2774729,bus
O'tish yo'li,,41.3528177,69.2666726,bus
O'tish yo'li,,41.3535043,69.2671534,bus
Bobur maydoni,,41.2926224,69.2504527,bus
,,41.292102,69.271942,bus
Fidoyilar hiyoboni,,41.3015412,69.2773944,bus
"""Океан""",,41.292405,69.2619614,bus
Океан,,41.2931759,69.2640965,bus
San'at muzeyi,,41.3026088,69.2787287,bus
Vestminster universeteti,,41.3065076,69.2837255,bus
Поликлиника №5,,41.3166225,69.2921288,bus
,,41.3196011,69.2986502,bus
,,41.3252592,69.3136916,bus
