card_id,area,number_rooms,furniture,condition,date
3diU0,74.0,2,1,Авторский проект,2025-12-05
496kf,20.0,2,1,Средний,2025-12-05
49j5Z,2.0,2,1,Евроремонт,2025-12-05
4emVC,68.0,2,1,Евроремонт,2025-12-05
45gsJ,155.0,4,1,Авторский проект,2025-12-05
4dYil,55.0,2,1,Средний,2025-12-05
4bRti,80.0,3,1,Евроремонт,2025-12-05
3zSqH,200.0,5,1,Авторский проект,2025-12-05
4emSy,43.0,2,1,Авторский проект,2025-12-05
41kMX,30.0,1,1,Евроремонт,2025-12-05
3OOxA,115.0,3,1,Авторский проект,2025-12-05
4dzFj,42.0,1,1,Евроремонт,2025-12-05
45zGT,54.0,2,1,Средний,2025-12-05
3b26X,120.0,3,1,Авторский проект,2025-12-05
455v5,68.0,2,1,Авторский проект,2025-12-05
4412n,115.0,3,1,Авторский проект,2025-12-05
440Nj,65.0,2,1,Авторский проект,2025-12-05
4emOu,38.0,1,1,,2025-12-05
3XaFQ,125.0,3,1,Авторский проект,2025-12-05
4e89j,70.0,3,1,Евроремонт,2025-12-05
4e8dN,50.0,2,1,Средний,2025-12-05
4emMX,39.0,2,1,Авторский проект,2025-12-05
4bZFt,82.0,3,1,Евроремонт,2025-12-05
4emMi,18.0,1,1,,2025-12-05
4aBm9,100.0,4,1,Авторский проект,2025-12-05
40mxQ,56.0,2,1,Авторский проект,2025-12-05
40ojS,60.0,2,1,Авторский проект,2025-12-05
47NfP,105.0,3,1,Авторский проект,2025-12-05
4dY9W,55.0,2,1,,2025-12-05
3RTDM,40.0,1,1,Евроремонт,2025-12-05
4bSci,33.0,1,1,Евроремонт,2025-12-05
3zN6Z,115.0,3,1,Авторский проект,2025-12-05
4dzxs,48.0,2,1,Евроремонт,2025-12-05
4dY8i,35.0,1,1,Евроремонт,2025-12-05
4dzvl,78.0,3,1,Евроремонт,2025-12-05
4cGMD,7.0,5,0,Средний,2025-12-05
4emF3,60.0,2,1,Евроремонт,2025-12-05
40MJU,64.0,2,1,Евроремонт,2025-12-05
4dY4O,77.0,3,1,Авторский проект,2025-12-05
4dAiB,78.0,3,1,Средний,2025-12-05
4emnl,68.0,2,1,Евроремонт,2025-12-05
4emne,68.0,2,1,Евроремонт,2025-12-05
4emnz,75.0,2,1,Евроремонт,2025-12-05
4emnt,70.0,2,1,Евроремонт,2025-12-05
4emAb,48.0,2,1,Средний,2025-12-05
4e5hg,78.0,3,1,Средний,2025-12-05
3OfoU,72.0,3,0,Средний,2025-12-05
4emz8,75.0,3,1,Средний,2025-12-05
40f4c,60.0,2,1,Евроремонт,2025-12-05
40MBY,46.0,2,1,Евроремонт,2025-12-05
4dXZ0,33.0,1,1,Авторский проект,2025-12-05
40ud6,52.0,1,1,Евроремонт,2025-12-05
4dXYS,26.0,1,1,,2025-12-05
4bWw1,1.0,1,1,Авторский проект,2025-12-05
3nlxl,64.0,2,1,Евроремонт,2025-12-05
4dXV2,100.0,3,1,Евроремонт,2025-12-05
4em0b,30.0,1,1,,2025-12-05
4emtu,54.0,2,1,Авторский проект,2025-12-05
4dzix,70.0,2,1,,2025-12-05
4dzik,67.0,3,1,Евроремонт,2025-12-05
4emtc,76.0,3,1,Евроремонт,2025-12-05
4dbpb,55.0,2,1,Авторский проект,2025-12-05
4emrL,55.0,2,1,Евроремонт,2025-12-05
4dbnE,53.0,2,1,Авторский проект,2025-12-05
4cqVR,97.0,3,1,Евроремонт,2025-12-05
4ef3Q,50.0,2,1,Средний,2025-12-05
4emo8,55.0,2,1,,2025-12-04
48xkD,92.0,3,1,,2025-12-04
4bwhw,56.0,2,1,,2025-12-04
4emje,66.0,2,0,Средний,2025-12-04
4dbfj,61.0,2,1,Евроремонт,2025-12-04
4emh3,72.0,3,1,,2025-12-04
4emgn,61.0,2,1,Средний,2025-12-04
4dXGg,50.0,2,1,Евроремонт,2025-12-04
4emcy,73.0,3,1,Средний,2025-12-04
3yd2o,71.3,3,1,Авторский проект,2025-12-04
4bSTc,71.3,3,1,Авторский проект,2025-12-04
4em8Q,16.0,1,0,Средний,2025-12-04
44knb,29.0,2,1,,2025-12-04
4dXxr,35.0,1,1,Средний,2025-12-04
4dyY2,70.0,3,1,Евроремонт,2025-12-04
4elXz,28.0,1,1,Авторский проект,2025-12-04
4bSGh,55.0,2,1,Евроремонт,2025-12-04
4dXwg,100.0,4,1,,2025-12-04
4dyVr,80.0,3,1,,2025-12-04
4em3L,77.0,2,1,Евроремонт,2025-12-04
3Tbxh,76.0,3,1,Евроремонт,2025-12-04
406dN,120.0,3,1,Авторский проект,2025-12-04
4daYz,140.0,3,1,Авторский проект,2025-12-04
3dj6m,50.0,2,0,Средний,2025-12-04
4daXT,130.0,3,1,Авторский проект,2025-12-04
4dySg,45.0,1,1,Евроремонт,2025-12-04
4elZM,35.0,1,1,Авторский проект,2025-12-04
4elXe,48.0,2,1,Авторский проект,2025-12-04
4dvsg,92.0,3,1,,2025-12-04
4daRb,50.0,2,1,Евроремонт,2025-12-04
40kks,110.0,3,1,Авторский проект,2025-12-04
3ZPDS,98.0,2,1,Евроремонт,2025-12-04
4elRJ,30.0,2,1,Средний,2025-12-04
4elyd,50.0,2,1,Средний,2025-12-04
4daOL,140.0,3,1,Авторский проект,2025-12-04
4dyJy,92.0,3,1,Средний,2025-12-04
4daO3,65.0,2,1,Евроремонт,2025-12-04
4daNV,130.0,3,1,Авторский проект,2025-12-04
45oOE,90.0,3,1,Евроремонт,2025-12-04
4dyDS,59.0,2,1,Евроремонт,2025-12-04
4elJj,18.0,1,1,Средний,2025-12-04
4elJ1,60.0,2,1,Авторский проект,2025-12-04
4daGy,50.0,2,1,,2025-12-04
4elIf,75.0,2,1,Авторский проект,2025-12-04
4elHU,76.0,3,1,Средний,2025-12-04
4elHL,70.0,2,1,Авторский проект,2025-12-04
4dX8r,60.0,2,1,Авторский проект,2025-12-04
4dyzH,80.0,3,1,Авторский проект,2025-12-04
44pJd,72.0,3,1,,2025-12-04
44pHT,65.0,2,1,,2025-12-04
44oWG,65.0,3,1,Авторский проект,2025-12-04
44hEC,55.0,2,1,,2025-12-04
410eI,100.0,3,1,Евроремонт,2025-12-04
4dyyY,39.0,2,1,Евроремонт,2025-12-04
4b20x,50.0,3,1,Авторский проект,2025-12-04
4elFi,65.0,2,1,Евроремонт,2025-12-04
4dyy9,65.0,2,1,Евроремонт,2025-12-04
42nYa,60.0,2,1,Авторский проект,2025-12-04
4elEA,105.0,3,1,Авторский проект,2025-12-04
4dX65,80.0,3,1,Авторский проект,2025-12-04
4dY9D,60.0,2,1,Средний,2025-12-04
4daAz,75.0,2,1,Авторский проект,2025-12-04
4elBi,155.0,3,1,Авторский проект,2025-12-04
43pN2,60.0,2,1,Авторский проект,2025-12-04
3gnZ0,57.0,2,1,,2025-12-04
4daxJ,53.0,2,1,Авторский проект,2025-12-04
4elza,42.0,1,1,Средний,2025-12-04
4dyqG,78.0,3,1,Авторский проект,2025-12-04
4elxm,64.0,2,1,Евроремонт,2025-12-04
4elsh,50.0,2,1,Евроремонт,2025-12-04
4dVYi,120.0,2,1,Авторский проект,2025-12-04
4dawX,125.0,2,1,Авторский проект,2025-12-04
4elvG,60.0,2,0,,2025-12-04
3sppw,74.0,3,1,Евроремонт,2025-12-04
3F4b8,55.0,2,1,Авторский проект,2025-12-04
3s0Nh,118.0,4,1,Евроремонт,2025-12-04
4dauX,53.0,2,1,Авторский проект,2025-12-04
3VePh,95.0,3,1,Евроремонт,2025-12-04
34aP6,75.0,2,1,Авторский проект,2025-12-04
4elte,90.0,3,1,Евроремонт,2025-12-04
3Vf8S,100.0,3,1,Евроремонт,2025-12-04
40Lqk,93.0,3,1,Авторский проект,2025-12-04
4elqj,55.0,3,1,Евроремонт,2025-12-04
45Q8F,61.0,2,1,,2025-12-04
4dYxS,56.0,2,1,Евроремонт,2025-12-04
3I0TG,60.0,2,1,Средний,2025-12-04
34jQm,105.0,3,1,Авторский проект,2025-12-04
4dalN,62.0,2,1,Евроремонт,2025-12-04
3yZzr,70.0,2,1,,2025-12-04
4390J,80.0,2,1,Авторский проект,2025-12-04
43BJ1,60.0,2,1,Авторский проект,2025-12-04
439KR,78.0,2,1,Авторский проект,2025-12-04
4f0Sd,67,3,1,Авторский проект,2025-12-18
4esye,50,2,1,Авторский проект,2025-12-18
4b7Pb,125,3,1,,2025-12-18
441gm,140,4,1,Авторский проект,2025-12-19
45Tbc,40,2,1,Авторский проект,2025-12-19
4417c,135,4,1,Авторский проект,2025-12-19
44vkV,105,3,1,Авторский проект,2025-12-19
4dZMP,48,2,1,Авторский проект,2025-12-19
