card_id,area,number_rooms,furniture,condition,date
1FraU,130,3,1,Авторский проект,2025-12-05
3Rc8k,58,2,1,Евроремонт,2025-12-05
3wqIL,40,2,1,Евроремонт,2025-12-05
3xGvz,55,2,1,Евроремонт,2025-12-05
4dce1,70,2,1,Евроремонт,2025-12-05
3s0SK,90,3,1,Евроремонт,2025-12-05
4ejAT,70,3,1,Евроремонт,2025-12-04
4c8G7,115,3,1,Авторский проект,2025-12-04
43mVL,39,1,1,Евроремонт,2025-12-05
48Sux,78,3,0,Евроремонт,2025-12-05
42JsN,65,2,1,Авторский проект,2025-12-05
4apXG,45,1,1,Евроремонт,2025-12-05
495dv,63,3,1,Евроремонт,2025-12-05
4dA4I,95,4,1,Авторский проект,2025-12-05
4emLO,76,2,1,Евроремонт,2025-12-05
4dYEe,58,2,1,Евроремонт,2025-12-05
4dA2g,78,3,1,Евроремонт,2025-12-05
4dYCt,70,3,1,Евроремонт,2025-12-05
4aktk,110,4,1,Евроремонт,2025-12-05
42MTP,140,4,1,Авторский проект,2025-12-05
4dXIi,120,3,0,Евроремонт,2025-12-05
3YMTT,85,3,1,,2025-12-03
4dzZS,40,1,1,Евроремонт,2025-12-05
2WxOq,100,3,1,Евроремонт,2025-12-05
4aXlh,50,2,1,Авторский проект,2025-12-05
3Y9uR,100,3,1,Авторский проект,2025-12-05
4dc4M,90,3,1,Евроремонт,2025-12-05
35kMq,62,2,1,Евроремонт,2025-12-05
4bzUD,120,3,1,Средний,2025-12-05
4c3Xt,56,2,1,Евроремонт,2025-12-05
32pMy,90,3,1,Евроремонт,2025-12-05
4c4rD,45,2,1,Евроремонт,2025-12-05
4e7zD,105,3,1,Евроремонт,2025-12-04
4ej8l,800,10,1,Евроремонт,2025-12-04
4dbd0,200,4,1,Евроремонт,2025-12-05
2DrmZ,75,3,1,Евроремонт,2025-12-05
1J2A5,135,3,1,,2025-12-05
1DXhQ,75,3,1,Евроремонт,2025-12-05
4cDHn,48,2,1,Авторский проект,2025-12-05
4en6a,61,2,1,,2025-12-05
42JnA,65,2,1,Авторский проект,2025-12-05
3ZmJl,55,2,1,Евроремонт,2025-12-05
3U6Dj,60,2,1,Евроремонт,2025-12-05
3Yc4s,58,2,1,Евроремонт,2025-12-05
4aSWQ,33,1,1,Евроремонт,2025-12-05
3Y40v,55,2,1,Евроремонт,2025-12-05
3sPhD,110,3,1,Авторский проект,2025-12-03
3Y42s,55,2,1,Евроремонт,2025-12-05
3YMzb,50,2,1,Евроремонт,2025-12-05
3ZtIv,55,2,1,Евроремонт,2025-12-05
3Yk0L,50,2,1,Евроремонт,2025-12-05
3TpRm,54,2,1,Евроремонт,2025-12-05
3T7Wg,58,2,1,Евроремонт,2025-12-05
3WHYO,58,2,1,Евроремонт,2025-12-05
3SzW2,70,2,1,Евроремонт,2025-12-05
1juJc,150,3,1,Авторский проект,2025-12-05
3TFRt,60,2,1,Авторский проект,2025-12-05
3dpMO,115,3,1,Авторский проект,2025-12-05
3Zm4T,52,2,1,Евроремонт,2025-12-05
3vTOG,100,3,1,Авторский проект,2025-12-04
4c8x4,190,4,1,Авторский проект,2025-12-03
3fQ5R,170,4,1,Евроремонт,2025-12-05
4bTkh,70,3,1,Авторский проект,2025-12-05
3D9rw,60,2,1,Евроремонт,2025-12-05
3EPA6,53,2,1,Евроремонт,2025-12-05
3EF8H,93,3,1,Евроремонт,2025-12-05
3R9L2,83,3,1,Евроремонт,2025-12-05
44qe3,110,3,1,Авторский проект,2025-12-05
4dbYU,50,2,1,Авторский проект,2025-12-05
42O63,140,4,1,Авторский проект,2025-12-05
4emZp,42,1,1,Евроремонт,2025-12-05
4dvoe,79,2,1,Евроремонт,2025-12-02
4dH9G,53,2,1,Авторский проект,2025-12-04
4deXp,125,3,1,Авторский проект,2025-12-03
3sia3,83,2,1,Евроремонт,2025-12-05
3KLbC,70,3,1,Евроремонт,2025-12-05
4124V,100,3,1,,2025-12-05
4dYno,60,2,1,Евроремонт,2025-12-05
4dbTt,62,2,1,Евроремонт,2025-12-05
3NXvZ,110,3,1,,2025-12-05
4dCAP,56,2,1,Авторский проект,2025-12-05
4dbd0,200,4,1,Евроремонт,2025-12-05
3TFK5,75,2,1,Авторский проект,2025-12-05
3GTY6,75,2,1,Авторский проект,2025-12-05
48VQP,3,3,1,Средний,2025-11-27
4eg60,100,4,1,Авторский проект,2025-12-03
4e1kA,54,2,1,,2025-12-04
3YSJU,90,3,1,,2025-12-05
48ajo,90,3,1,Евроремонт,2025-12-05
44hV6,115,3,1,Авторский проект,2025-12-05
4emTk,67,3,1,Авторский проект,2025-12-05
4dzhw,100,3,1,Евроремонт,2025-12-05
42MTP,140,4,1,Авторский проект,2025-12-05
45wfz,65,2,1,Авторский проект,2025-12-05
4emSi,1,1,1,Евроремонт,2025-12-05
4cb05,120,3,1,Евроремонт,2025-12-05
41Oly,90,3,1,Евроремонт,2025-12-05
4brlh,67,3,1,Авторский проект,2025-12-05
4e3Tv,100,4,1,Евроремонт,2025-11-29
4ebSd,67,2,1,Евроремонт,2025-12-04
4413x,150,4,1,Авторский проект,2025-12-05
3EDHG,135,3,1,Авторский проект,2025-12-05
3US5u,80,2,1,Средний,2025-12-05
4emOZ,73,3,1,Авторский проект,2025-12-05
4dYeV,80,2,1,Евроремонт,2025-12-05
3anVd,140,3,1,Авторский проект,2025-12-05
3EZHK,110,3,1,Евроремонт,2025-12-05
4emNx,30,1,1,Авторский проект,2025-12-05
4emMd,33,2,1,Авторский проект,2025-12-05
4dYcu,70,2,1,Евроремонт,2025-12-05
3QnqL,80,3,1,Авторский проект,2025-11-08
423Sa,260,5,1,,2025-12-03
3ZEZC,56,2,1,Авторский проект,2025-12-05
3eDKA,119,3,1,Авторский проект,2025-12-05
3VfC7,120,4,1,Авторский проект,2025-12-05
3EA53,150,5,1,Авторский проект,2025-12-05
41kNl,50,2,1,Евроремонт,2025-12-05
4515a,100,3,1,Евроремонт,2025-12-05
4ebu7,72,2,1,Евроремонт,2025-12-05
4emCI,55,2,1,Евроремонт,2025-12-05
