card_id,area,number_rooms,furniture,condition,date
3nsgh,40,1,0,Авторский проект,2025-12-03
4aHzr,56,2,1,Авторский проект,2025-12-03
35IYY,55,2,1,Авторский проект,2025-12-03
4ahWe,18,1,1,Средний,2025-12-03
47NSO,13,1,1,Евроремонт,2025-12-03
4aGGG,75,3,1,Евроремонт,2025-12-03
4btVr,40,1,0,Предчистовая отделка,2025-12-03
4ehtp,125,3,1,Евроремонт,2025-12-03
3694f,75,2,1,Средний,2025-12-03
4ehkW,140,3,1,Евроремонт,2025-12-03
4ehk9,140,3,1,Евроремонт,2025-12-03
469ij,72,2,1,Авторский проект,2025-12-03
4egSc,60,2,1,,2025-12-03
38aez,125,5,1,Авторский проект,2025-12-03
4a8ea,64,2,1,Евроремонт,2025-12-03
4d6o3,60,2,1,Евроремонт,2025-12-03
3sEtI,85,3,1,Средний,2025-12-03
4egXv,60,2,1,,2025-12-03
4egYn,60,2,1,,2025-12-03
3i8V0,50,2,1,Средний,2025-12-03
385S4,60,2,1,Авторский проект,2025-12-03
4ehaM,38,2,1,,2025-12-03
3VOj8,5,2,1,,2025-12-03
4eh42,38,1,1,Средний,2025-12-03
4d698,65,2,1,Евроремонт,2025-12-03
40ChG,75,3,1,Евроремонт,2025-12-03
32Krf,70,3,1,Евроремонт,2025-12-03
4bJau,60,3,1,,2025-12-03
3hYRn,87,3,1,Авторский проект,2025-12-03
3hYRn,87,3,1,Авторский проект,2025-12-03
49huj,67.80,3,1,,2025-12-03
40BuY,56,2,1,Авторский проект,2025-12-03
47n0F,72,3,1,,2025-12-03
38BFa,53,2,1,Авторский проект,2025-12-03
38ocg,325,6,1,Авторский проект,2025-12-03
4egAg,90,3,1,Предчистовая отделка,2025-12-03
367N4,59,2,1,Авторский проект,2025-12-03
4egIX,55,2,1,Евроремонт,2025-12-03
4efPX,65,2,1,Евроремонт,2025-12-03
3Rop2,55,2,1,Евроремонт,2025-12-03
367SA,60,3,1,Авторский проект,2025-12-03
4dS62,73,2,1,Евроремонт,2025-12-03
3dWz0,85,3,1,Евроремонт,2025-12-03
36975,86,3,1,,2025-12-03
3SPJp,100,1,1,Евроремонт,2025-12-03
3tURP,65,2,1,Средний,2025-12-03
4egvJ,86,3,1,,2025-12-03
3rky3,33,1,1,Авторский проект,2025-12-03
4dRUq,87,3,1,Евроремонт,2025-12-03
4dRUn,62,2,1,Евроремонт,2025-12-03
3vcLt,60,1,1,Евроремонт,2025-12-03
386fG,65,3,1,Авторский проект,2025-12-03
4dRTZ,40,1,0,Авторский проект,2025-12-03
4egoh,50,3,0,Средний,2025-12-03
39Hek,55,2,1,Авторский проект,2025-12-03
3YM7E,105,2,1,Евроремонт,2025-12-03
4eaP2,60,2,1,,2025-12-03
40FS5,20,3,1,Средний,2025-12-03
3x2Sk,55,2,0,Средний,2025-12-03
4ckq2,31,1,1,Средний,2025-12-03
3mGzY,50,2,1,Средний,2025-12-03
40FNB,80,2,1,Средний,2025-12-03
4d5az,55,2,1,,2025-12-03
49dys,48,2,1,Средний,2025-12-03
3qMfb,55,2,1,Евроремонт,2025-12-03
4dt6u,40,1,1,Евроремонт,2025-12-03
3GKU2,75,3,1,Евроремонт,2025-12-03
4a53K,100,3,1,Евроремонт,2025-12-03
4dRXc,58,2,0,,2025-12-03
3YwoM,55,2,1,Евроремонт,2025-12-03
483fY,30,1,1,,2025-12-03
4efP2,65,2,1,Евроремонт,2025-12-03
483eE,32,1,1,,2025-12-03
4efNM,56,2,1,Евроремонт,2025-12-03
4efLn,60,2,0,Авторский проект,2025-12-03
4e0Xk,50,2,1,Средний,2025-12-03
38oNp,57,2,1,Евроремонт,2025-12-03
44ayH,113,4,1,Евроремонт,2025-12-03
4dsFX,31,1,1,Средний,2025-12-03
4efwZ,62,2,1,Евроремонт,2025-12-03
4aBGr,59,2,1,Евроремонт,2025-12-03
4aErK,48,2,1,Евроремонт,2025-12-03
3Hsgo,65,2,1,Евроремонт,2025-12-03
40tkk,150,5,1,Евроремонт,2025-12-03
3xKjC,81,3,1,Евроремонт,2025-12-03
3ZsbL,80,3,1,Евроремонт,2025-12-03
4efsW,70,2,1,Евроремонт,2025-12-03
4efr0,55,2,1,Евроремонт,2025-12-03
4dzC1,56,2,1,Евроремонт,2025-12-03
4efq9,100,4,1,,2025-12-03
3YLgE,58,2,1,,2025-12-03
4dsoE,50,2,1,Евроремонт,2025-12-03
4efgm,65,2,1,Евроремонт,2025-12-03
4efav,50,2,0,Евроремонт,2025-12-03
4ef8N,40,1,0,Авторский проект,2025-12-03
4efbY,93,3,0,Средний,2025-12-03
