card_id,area,number_rooms,furniture,condition,date
4ellm,60,2,1,Евроремонт,2025-12-04
4dVrr,57,2,1,Евроремонт,2025-12-04
4dyem,58,2,1,Средний,2025-12-04
4dYjv,56,2,1,Евроремонт,2025-12-04
4dVG7,55,2,1,Авторский проект,2025-12-04
45NNx,50,2,1,Евроремонт,2025-12-04
44jw2,60,3,1,Авторский проект,2025-12-04
4dy7Y,65,2,1,Евроремонт,2025-12-04
447Hc,60,2,1,Евроремонт,2025-12-04
45apn,60,2,1,Евроремонт,2025-12-04
4ejim,31,1,1,Евроремонт,2025-12-04
4dVEx,80,3,1,Авторский проект,2025-12-04
4btT3,110,4,1,Евроремонт,2025-12-04
4dVB6,55,3,1,Авторский проект,2025-12-04
3UrHS,65,2,1,Евроремонт,2025-12-04
4ela1,66,2,1,Евроремонт,2025-12-04
3LwvI,49,2,1,Авторский проект,2025-12-04
4dVAh,40,1,1,Евроремонт,2025-12-04
4el93,55,2,1,Евроремонт,2025-12-04
4el4N,54,2,1,Авторский проект,2025-12-04
4el8A,80,3,1,Евроремонт,2025-12-04
4da6n,50,2,1,Евроремонт,2025-12-04
49bjF,50,2,1,Евроремонт,2025-12-04
44Olo,176,3,1,Авторский проект,2025-12-04
3H5cE,75,2,1,Авторский проект,2025-12-04
38vMH,125,3,1,,2025-12-04
3HYWW,120,3,1,,2025-12-04
3M7TS,54,3,1,Евроремонт,2025-12-04
3Qrkk,48,2,1,Средний,2025-12-04
4beLo,72,3,1,Евроремонт,2025-12-04
3u0AR,55,2,1,Евроремонт,2025-12-04
4dVpp,40,1,1,Евроремонт,2025-12-04
4ekLs,45,2,1,Авторский проект,2025-12-04
4d9XO,90,3,1,Евроремонт,2025-12-04
4bbPh,60,2,1,Евроремонт,2025-12-04
3wGK4,55,2,1,Евроремонт,2025-12-04
3aBhT,50,2,1,Евроремонт,2025-12-04
38AzR,55,2,1,Авторский проект,2025-12-04
4ekTY,40,1,1,,2025-12-04
4dVjf,70,3,1,Евроремонт,2025-12-04
3UYzh,53,2,1,Евроремонт,2025-12-04
40KIM,62,2,1,Авторский проект,2025-12-04
4338t,79,3,1,,2025-12-04
3KItA,60,2,1,Авторский проект,2025-12-04
4dVbk,35,1,1,Евроремонт,2025-12-04
4d9N4,45,2,1,,2025-12-04
4auop,55,3,1,,2025-12-04
44GQv,115,3,1,Авторский проект,2025-12-04
373Rt,74,2,1,Евроремонт,2025-12-04
4dxz3,60,2,1,Евроремонт,2025-12-04
47AUu,100,4,1,Средний,2025-12-04
4ekDF,72,3,1,Евроремонт,2025-12-04
3s1t4,40,2,1,Евроремонт,2025-12-04
3Usm1,180,4,1,Евроремонт,2025-12-04
4ekxM,38,1,0,Средний,2025-12-04
4dWWq,72,4,1,Средний,2025-12-04
46BuC,55,2,1,Евроремонт,2025-12-04
46BtP,55,2,1,Евроремонт,2025-12-04
4ekvx,80,3,1,Евроремонт,2025-12-04
4ckjE,22,1,1,Средний,2025-12-04
41fLO,72,2,1,Евроремонт,2025-12-04
4ektT,65,2,1,Евроремонт,2025-12-04
4ektw,80,3,1,,2025-12-04
4ekrq,50,1,1,Евроремонт,2025-12-04
37kMa,40,1,1,Евроремонт,2025-12-04
4dWMv,54,2,1,Евроремонт,2025-12-04
4a00V,80,3,1,Евроремонт,2025-12-04
4ekkc,24,1,0,,2025-12-04
4ekjn,75,3,1,Евроремонт,2025-12-04
4d9la,78,3,0,Евроремонт,2025-12-04
4ekiy,40,1,1,Авторский проект,2025-12-04
4cVOF,85,2,1,Авторский проект,2025-12-04
4ctet,75,3,1,,2025-12-04
2GJZD,55,2,1,Евроремонт,2025-12-04
4ejKv,62,2,1,Авторский проект,2025-12-04
4ekgr,30,1,1,Евроремонт,2025-12-04
45lg5,80,3,1,Евроремонт,2025-12-04
44niv,80,3,1,Евроремонт,2025-12-04
4ekc7,72,3,1,Евроремонт,2025-12-04
4ekbR,65,2,1,Евроремонт,2025-12-04
4ek6s,60,2,1,,2025-12-04
4ek7s,44,2,1,Евроремонт,2025-12-04
4dWvL,60,2,1,Евроремонт,2025-12-04
4dWvG,60,2,1,Евроремонт,2025-12-04
4efJV,78,2,1,Евроремонт,2025-12-04
4dx1k,92,4,1,Средний,2025-12-04
4dWwL,32,1,1,Евроремонт,2025-12-04
4ceKl,50,1,1,Евроремонт,2025-12-04
4bDB6,200,1,0,,2025-12-04
3a0Yw,50,2,1,Евроремонт,2025-12-04
4dz8h,50,2,1,,2025-12-04
